Pillar,Subcategory,Question,Maturity Level,Readiness Level,Score Range,Recommendation
Strategy & Leadership,AI Vision Alignment,Is there a clear AI vision linked to corporate strategy?,1,Emerging,1.0 – 2.0,Raise awareness and start with basic foundations.
Strategy & Leadership,AI Vision Alignment,Is there a clear AI vision linked to corporate strategy?,2,Developing,2.1 – 3.0,Build formal processes and pilot initiatives.
Strategy & Leadership,AI Vision Alignment,Is there a clear AI vision linked to corporate strategy?,3,Advanced,3.1 – 4.0,Scale pilots and link AI to measurable outcomes.
Strategy & Leadership,AI Vision Alignment,Is there a clear AI vision linked to corporate strategy?,4,Mature,4.1 – 5.0,Continuously optimize and embed AI across the business.
Strategy & Leadership,AI Vision Alignment,Is there a clear AI vision linked to corporate strategy?,5,Mature,4.1 – 5.0,Continuously optimize and embed AI across the business.
Strategy & Leadership,Executive Sponsorship,Do executives actively sponsor and communicate AI initiatives?,1,Emerging,1.0 – 2.0,Raise awareness and start with basic foundations.
Strategy & Leadership,Executive Sponsorship,Do executives actively sponsor and communicate AI initiatives?,2,Developing,2.1 – 3.0,Build formal processes and pilot initiatives.
Strategy & Leadership,Executive Sponsorship,Do executives actively sponsor and communicate AI initiatives?,3,Advanced,3.1 – 4.0,Scale pilots and link AI to measurable outcomes.
Strategy & Leadership,Executive Sponsorship,Do executives actively sponsor and communicate AI initiatives?,4,Mature,4.1 – 5.0,Continuously optimize and embed AI across the business.
Strategy & Leadership,Executive Sponsorship,Do executives actively sponsor and communicate AI initiatives?,5,Mature,4.1 – 5.0,Continuously optimize and embed AI across the business.
Strategy & Leadership,C-Suite Literacy,Do C-suite leaders have strong AI literacy?,1,Emerging,1.0 – 2.0,Raise awareness and start with basic foundations.
Strategy & Leadership,C-Suite Literacy,Do C-suite leaders have strong AI literacy?,2,Developing,2.1 – 3.0,Build formal processes and pilot initiatives.
Strategy & Leadership,C-Suite Literacy,Do C-suite leaders have strong AI literacy?,3,Advanced,3.1 – 4.0,Scale pilots and link AI to measurable outcomes.
Strategy & Leadership,C-Suite Literacy,Do C-suite leaders have strong AI literacy?,4,Mature,4.1 – 5.0,Continuously optimize and embed AI across the business.
Strategy & Leadership,C-Suite Literacy,Do C-suite leaders have strong AI literacy?,5,Mature,4.1 – 5.0,Continuously optimize and embed AI across the business.
Strategy & Leadership,Board Awareness,Is the board aware of AI opportunities and risks?,1,Emerging,1.0 – 2.0,Raise awareness and start with basic foundations.
Strategy & Leadership,Board Awareness,Is the board aware of AI opportunities and risks?,2,Developing,2.1 – 3.0,Build formal processes and pilot initiatives.
