Question ID,Subcategory ID,Pillar,Subcategory,Question,Region,Assessment Type,Active?
Q-STR-AIS-001,S-001,Strategy & Leadership,AI Strategy,Does your organization have a formal AI strategy aligned with business goals?,Global,,TRUE
Q-STR-AIS-002,S-001,Strategy & Leadership,AI Strategy,Is the AI strategy communicated clearly across all organizational levels?,Global,,TRUE
Q-STR-AIS-003,S-001,Strategy & Leadership,AI Strategy,Are measurable KPIs and success criteria defined for the AI strategy?,Global,,TRUE
Q-STR-AIS-004,S-001,Strategy & Leadership,AI Strategy,Is AI adoption regularly reviewed and adjusted based on external trends and internal feedback?,Global,,TRUE
Q-STR-AIS-005,S-001,Strategy & Leadership,AI Strategy,Are adoption goals clearly set for the AI roadmap?,Global,,TRUE
Q-STR-AIS-006,S-001,Strategy & Leadership,AI Strategy,Does the organization analyze AI trends and competitor AI maturity?,Global,,TRUE
Q-STR-AIS-007,S-001,Strategy & Leadership,AI Strategy,Is the AI vision validated with senior leadership?,Global,,TRUE
Q-STR-AIS-008,S-001,Strategy & Leadership,AI Strategy,Are external AI partnerships integrated into the strategic roadmap?,Global,,TRUE
Q-STR-AIS-009,S-001,Strategy & Leadership,AI Strategy,Is the AI strategy documented and accessible to relevant stakeholders?,Global,,TRUE
Q-STR-AIS-010,S-001,Strategy & Leadership,AI Strategy,Are lessons learned from past AI initiatives incorporated into strategy updates?,Global,,TRUE
Q-STR-LEA-011,S-002,Strategy & Leadership,Leadership Commitment,Do senior leaders actively sponsor and champion AI initiatives?,Global,,TRUE
Q-STR-LEA-012,S-002,Strategy & Leadership,Leadership Commitment,Does the organization promote diversity and inclusion within AI leadership?,Global,,TRUE
Q-STR-LEA-013,S-002,Strategy & Leadership,Leadership Commitment,Are roles and responsibilities for AI leadership clearly defined?,Global,,TRUE
Q-STR-LEA-014,S-002,Strategy & Leadership,Leadership Commitment,Is there a budget allocated specifically for AI strategic initiatives?,Global,,TRUE
Q-STR-LEA-015,S-002,Strategy & Leadership,Leadership Commitment,Are AI KPIs regularly reported to executive leadership?,Global,,TRUE
Q-STR-LEA-016,S-002,Strategy & Leadership,Leadership Commitment,Are strategic AI projects prioritized based on value and risk?,Global,,TRUE
Q-STR-LEA-017,S-002,Strategy & Leadership,Leadership Commitment,Is AI strategy included in the organization’s risk management framework?,Global,,TRUE
Q-STR-LEA-018,S-002,Strategy & Leadership,Leadership Commitment,Are executive sponsors assigned for key AI initiatives?,Global,,TRUE
Q-STR-LEA-019,S-002,Strategy & Leadership,Leadership Commitment,Does leadership foster a culture supportive of AI innovation?,Global,,TRUE
Q-STR-LEA-020,S-002,Strategy & Leadership,Leadership Commitment,Are AI strategic plans integrated with other business unit strategies?,Global,,TRUE
Q-STR-NAT-021,S-003,Strategy & Leadership,National Alignment,Does the organization align AI adoption with national AI strategies such as UAE AI Strategy 2031?,Middle East,,TRUE
Q-STR-NAT-022,S-003,Strategy & Leadership,National Alignment,Does the organization collaborate with government or public-private AI initiatives?,Middle East,,TRUE
Q-STR-AIS-023,S-001,Strategy & Leadership,AI Strategy,Are strategic AI investments reviewed periodically for alignment with business goals?,Global,,TRUE
Q-STR-ENV-024,S-004,Strategy & Leadership,Environmental Sustainability,Is AI strategy linked to sustainability and corporate social responsibility objectives?,Global,,TRUE
Q-STR-INN-025,S-005,Strategy & Leadership,Innovation,Are AI innovation partnerships with startups or academia pursued actively?,Global,,TRUE
Q-STR-LEA-026,S-002,Strategy & Leadership,Leadership Commitment,Are strategic risks from AI adoption assessed and mitigated?,Global,,TRUE
Q-STR-REG-027,S-006,Strategy & Leadership,Regulatory Horizon-Scanning,Is the organization prepared for regulatory changes impacting AI?,Global,,TRUE
Q-STR-POR-028,S-007,Strategy & Leadership,Portfolio Management,"Is there an enterprise-wide AI portfolio dashboard showing value, risk, cost and sustainability metrics for every project?",Global,,TRUE
Q-STR-COM-029,S-008,Strategy & Leadership,Competitive Intelligence,Is competitor and industry AI maturity benchmarked at least annually to inform roadmap updates?,Global,,TRUE
Q-STR-ENV-030,S-004,Strategy & Leadership,Environmental Sustainability,Has the executive committee approved carbon-reduction targets specifically for AI workloads?,Global,,TRUE
